document,property,focus_xml_id,approved_target_xml_id,status,generated_target_xml_id,message
cab-001-002,appointsToOffice,event_cab-001-002_cab-001-002_s004_a006,,not_applied_by_policy,,
cab-001-002,appointsPerson,event_cab-001-002_cab-001-002_s004_a006,,not_applied_by_policy,,
cab-001-003,decidedBy,event_cab-001-003_cab-001-003_s007_a001,,not_applied_by_policy,,
cab-001-004,decidedBy,event_cab-001-004_cab-001-004_s002_a005,,not_applied_by_policy,,
cab-001-006,sanctions,event_cab-001-006_cab-001-006_s005_a002,,not_applied_by_policy,,
cab-001-006,sanctions,event_cab-001-006_cab-001-006_s005_a004,,not_applied_by_policy,,
cab-001-006,sanctions,event_cab-001-006_cab-001-006_s004_a004,,not_applied_by_policy,,
cab-001-006,decidedBy,event_cab-001-006_cab-001-006_s005_a004,,not_applied_by_policy,,
cab-001-006,appointsPerson,event_cab-001-006_cab-001-006_s002_a001,,not_applied_by_policy,,
cab-001-006,appointsToOffice,event_cab-001-006_cab-001-006_s002_a001,cab-001-006_cab-001-006_s002_a002,applied,office_review_event_cab-001-006_cab-001-006_s002_a001_cab-001-006_cab-001-006_s002_a002,
cab-001-006,decidedBy,event_cab-001-006_cab-001-006_s004_a004,,not_applied_by_policy,,
cab-001-006,decidedBy,event_cab-001-006_cab-001-006_s005_a002,,not_applied_by_policy,,
cab-001-007,appealsAgainst,event_cab-001-007_cab-001-007_s002_a002,,not_applied_by_policy,,
cab-001-007,beforeAuthority,event_cab-001-007_cab-001-007_s002_a002,,not_applied_by_policy,,
cab-001-008,appointsPerson,event_cab-001-008_cab-001-008_s003_a002,,not_applied_by_policy,,
cab-001-008,appointsToOffice,event_cab-001-008_cab-001-008_s005_a005,,not_applied_by_policy,,
cab-001-011,decidedBy,event_cab-001-011_cab-001-011_s002_a001,org_cab-001-011_cab-001-011_s001_a003,applied,,
cab-001-011,decidedBy,event_cab-001-011_cab-001-011_s004_a003,,not_applied_by_policy,,
cab-001-012,sanctions,event_cab-001-012_cab-001-012_s003_a003,,not_applied_by_policy,,
cab-001-018,sanctions,event_cab-001-018_cab-001-018_s003_a002,,not_applied_by_policy,,
cab-001-018,decidedBy,event_cab-001-018_cab-001-018_s003_a002,,not_applied_by_policy,,
cab-001-019,sanctions,event_cab-001-019_cab-001-019_s003_a001,,not_applied_by_policy,,
cab-001-019,beforeAuthority,event_cab-001-019_cab-001-019_s004_a004,,not_applied_by_policy,,
cab-001-019,decidedBy,event_cab-001-019_cab-001-019_s003_a001,,not_applied_by_policy,,
cab-001-019,appealsAgainst,event_cab-001-019_cab-001-019_s004_a004,,not_applied_by_policy,,
cab-001-038,sanctions,event_cab-001-038_cab-001-038_s002_a003,,not_applied_by_policy,,
cab-001-038,decidedBy,event_cab-001-038_cab-001-038_s002_a003,,not_applied_by_policy,,
cab-001-042,decidedBy,event_cab-001-042_cab-001-042_s003_a001,,not_applied_by_policy,,
cab-001-042,sanctions,event_cab-001-042_cab-001-042_s003_a001,,not_applied_by_policy,,
cab-001-056,sanctions,event_cab-001-056_cab-001-056_s002_a002,,not_applied_by_policy,,
