document_id,segment_id,relation_id,subject,predicate,object,basis,certainty,note,source_url
co-ahrb-cab-001-d0039,cab-001-039_s002,cab-001-039_cab-001-039_s002_r001,orden,isMentionedIn,cab-001-039_s002,explicit,high,Fuente normativa identificada en el segmento.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s002,cab-001-039_cab-001-039_s002_r002,cab-001-039_s002,containsLegalAct,notification,explicit,high,Expresión: notificó,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r001,provisión,isMentionedIn,cab-001-039_s003,explicit,high,Fuente normativa identificada en el segmento.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r002,Alonso de Cabrera,holdsOrPerformsRole,Alcalde Ordinario,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r003,Fray Bernardino,holdsOrPerformsRole,Alcalde Ordinario,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r004,Gonzalo Suárez,holdsOrPerformsRole,Cap,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r005,Gonzalo Suárez,holdsOrPerformsRole,capitan,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r006,Baltazar Maldonado,holdsOrPerformsRole,Cap,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r007,Baltazar Maldonado,holdsOrPerformsRole,capitan,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r008,Hernando de Rojas,holdsOrPerformsRole,capitan,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s003,cab-001-039_cab-001-039_s003_r009,cab-001-039_s003,containsLegalAct,presentation,explicit,high,Expresión: presentó,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s004,cab-001-039_cab-001-039_s004_r001,nuevas leyes,isMentionedIn,cab-001-039_s004,explicit,high,Fuente normativa identificada en el segmento.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s004,cab-001-039_cab-001-039_s004_r002,ordenanzas Reales,isMentionedIn,cab-001-039_s004,explicit,high,Fuente normativa identificada en el segmento.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s004,cab-001-039_cab-001-039_s004_r003,Cabildo/autoridad competente,ordersOrPerforms,Proclamation,inferred,medium,,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s004,cab-001-039_cab-001-039_s004_r004,cab-001-039_s004,invokesConcept,bien del Reino,explicit,high,,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s004,cab-001-039_cab-001-039_s004_r005,cab-001-039_s004,invokesConcept,República,explicit,high,,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s005,cab-001-039_cab-001-039_s005_r001,Hernando de Rojas,holdsOrPerformsRole,Regidor,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s005,cab-001-039_cab-001-039_s005_r002,Hernando de Rojas,presentsOrRequests,Petition,explicit,high,,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s005,cab-001-039_cab-001-039_s005_r003,cab-001-039_s005,containsLegalAct,presentation,explicit,high,Expresión: presentó,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s005,cab-001-039_cab-001-039_s005_r004,cab-001-039_s005,containsLegalAct,petition,explicit,high,Expresión: petición,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s005,cab-001-039_cab-001-039_s005_r005,cab-001-039_s005,containsLegalAct,grant,explicit,high,Expresión: merced,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s005,cab-001-039_cab-001-039_s005_r006,cab-001-039_s005,containsLegalAct,approval,explicit,high,Expresión: aprobaron,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s006,cab-001-039_cab-001-039_s006_r001,Sebastian Martin,presentsOrRequests,Petition,explicit,high,,https://zasqua.org/co-ahrb-cab-001-d039/
co-ahrb-cab-001-d0039,cab-001-039_s006,cab-001-039_cab-001-039_s006_r002,cab-001-039_s006,containsLegalAct,petition,explicit,high,Expresión: petición,https://zasqua.org/co-ahrb-cab-001-d039/
